,数量,是否出现在单词爬取网站
dishes,12,False
pushing,12,False
romantic,12,True
evil,12,False
extent,12,True
belt,12,True
else,12,True
neighbor,12,True
send,12,True
balloon,12,False
Sunday,12,False
wing,12,True
trains,12,False
plants,12,False
wheels,12,False
beautifully,12,False
voted,12,False
scored,12,False
characters,12,False
dining,12,True
previous,12,True
stocks,12,False
legislation,12,True
beats,12,False
nervous,12,True
enter,12,True
parties,12,False
expenses,12,False
occurred,12,False
reasons,12,False
reports,12,False
May,12,False
ordered,12,False
museum,12,True
added,12,False
cows,12,False
lawn,12,True
margin,12,True
egg,12,True
hat,12,True
methods,12,False
units,12,False
variety,12,True
rolls,12,False
fruit,12,True
shortly,12,True
auditorium,12,False
pressed,12,False
entirely,12,True
credit,12,True
friendship,12,True
edition,12,True
literary,12,True
convert,12,True
limit,12,True
register,12,True
slipped,12,False
lock,12,True
flow,12,True
testing,12,True
whether,12,True
contributed,12,False
designed,12,False
burn,12,True
washing,12,False
amazing,12,True
contract,12,True
wishes,12,False
Many,12,False
appears,12,False
artists,12,False
insurance,12,True
attempt,12,True
confident,12,True
network,12,True
admired,12,False
academic,12,True
individual,12,True
fashion,12,True
refer,12,True
fairly,12,True
kinds,12,False
approval,12,True
sophisticated,12,True
sisters,12,False
remove,12,True
passing,12,False
element,12,True
attended,12,False
painful,12,True
pond,12,False
reply,12,True
Australia,12,False
thunder,12,False
impossible,12,True
liberal,12,True
dear,12,True
cities,12,False
burning,12,False
salesman,12,False
entered,12,False
painter,12,True
nerve,12,True
services,12,False
alarm,12,False
aircraft,12,True
shape,12,True
separated,12,False
lifted,12,False
recognized,12,False
none,12,True
millions,12,False
balls,12,False
Europe,12,False
jacket,12,True
knife,12,True
sort,12,True
rush,12,True
attacked,12,False
crowds,12,False
considered,12,False
duties,12,False
exploded,12,False
included,12,False
opposition,12,True
affair,12,True
champagne,12,False
tremendous,12,True
consists,12,False
highway,12,True
eager,12,True
latest,12,False
choice,12,True
difference,12,True
supposed,12,True
snake,12,False
advantage,12,True
enemies,12,False
mirror,12,True
Africa,12,False
confusion,12,True
lots,12,True
emergency,12,True
brothers,12,False
pottery,12,False
opera,12,False
characteristic,12,True
allowed,12,False
switch,12,True
improvement,12,True
emphasis,12,True
rode,12,False
Russian,12,True
unless,12,True
unpleasant,12,False
traveled,12,False
acted,12,False
plenty,12,True
species,12,True
frequent,12,True
solve,12,True
stable,12,True
collected,12,False
scandal,12,True
older,12,False
notes,12,False
revealed,12,False
goal,12,True
magazine,12,True
achievement,12,True
armed,12,True
planes,12,False
protest,12,True
successful,12,True
sea,12,True
tip,12,True
follows,12,False
retirement,12,True
steps,12,False
suspected,12,False
alternative,12,True
tested,12,False
apartment,12,True
rural,12,True
total,12,True
visual,12,True
beef,12,False
cash,12,True
disaster,12,True
china,12,False
drunk,12,False
gained,10,False
birds,10,False
cycle,10,True
walks,10,False
Does,10,False
ways,10,False
emotions,10,False
measured,10,False
biggest,10,False
substance,10,True
cleaned,10,False
apparent,10,True
Times,10,False
appear,10,True
either,10,True
crucial,10,True
jokes,10,False
deals,10,False
appointment,10,True
trend,10,True
falling,10,False
insects,10,False
complained,10,False
clothing,10,True
drinks,10,False
feared,10,False
British,10,True
accepted,10,False
cow,10,True
studio,10,True
shocked,10,False
mine,10,True
equals,10,False
laboratory,10,True
tradition,10,True
hangs,10,False
loves,10,False
muscle,10,True
cases,10,False
promotion,10,False
Asia,10,False
habit,10,True
butter,10,True
talking,10,False
presented,10,False
voices,10,False
sitting,10,False
independent,10,True
tomatoes,10,False
products,10,False
sister,10,True
gesture,10,True
discuss,10,True
distribution,10,True
movies,10,False
railing,10,False
brother,10,True
tied,10,False
owned,10,False
strikes,10,False
thousands,10,False
damaged,10,False
TV,10,True
sculpture,10,False
ethnic,10,True
wealth,10,True
titles,10,False
certainly,10,True
code,10,True
introduce,10,True
scheduled,10,False
rifle,10,True
central,10,True
West,10,False
reference,10,True
increasing,10,True
Have,10,False
timber,10,False
That,10,False
incidental,10,False
asking,10,False
twice,10,True
introduced,10,False
Republican,10,True
generous,10,False
intended,10,False
odd,10,True
necessary,10,True
deliver,10,True
favorable,10,False
cigarette,10,True
railed,10,False
handle,10,True
sauce,10,True
difficulties,10,False
flower,10,True
awaited,10,False
debated,10,False
mere,10,True
countryside,10,False
forehead,10,False
policies,10,False
command,10,True
placed,10,False
expressed,10,False
offers,10,False
further,10,False
remarks,10,False
murderer,10,False
driving,10,False
buttons,10,False
experimental,10,False
glove,10,True
locked,10,False
bone,10,True
doubt,10,True
useful,10,True
survive,10,True
squeeze,10,True
meant,10,False
represent,10,True
shadow,10,True
squarely,10,False
invention,10,False
extensive,10,True
segment,10,True
culture,10,True
arranged,10,False
shared,10,False
lazy,10,False
roots,10,False
translate,10,True
editor,10,True
turkey,10,False
waters,10,False
companies,10,False
heating,10,False
agency,10,True
forever,10,True
touched,10,False
slowed,10,False
tank,10,True
East,10,False
treat,10,True
virtue,10,True
strip,10,True
precisely,10,True
America,10,False
happened,10,False
squeezed,10,False
anymore,10,True
preparation,10,True
contained,10,False
promise,10,True
kids,10,False
improve,10,True
craft,10,True
vegetables,10,False
Washington,10,False
peak,10,True
signals,10,False
device,10,True
fault,10,True
rates,10,False
add,10,True
lane,10,False
stuck,10,False
rice,10,True
financial,10,True
flowed,10,False
performed,10,False
World,10,False
travelled,10,False
Broadway,10,False
wool,10,False
debt,10,True
destroyed,10,False
roses,10,False
acknowledged,10,False
vase,10,False
feels,10,False
planted,10,False
planning,10,True
host,10,True
collect,10,True
Jersey,10,False
fully,10,True
insult,10,False
tent,10,True
courses,10,False
artillery,10,False
chest,10,True
shore,10,True
garage,10,True
waves,10,False
belong,10,True
cloth,10,False
owns,10,False
stomach,10,True
instructions,10,False
complicated,10,True
content,10,True
depression,10,True
diplomatic,10,False
Will,10,False
traced,10,False
exact,10,True
leaders,10,False
remains,10,False
smoking,10,False
shelf,10,True
rolling,10,False
collapsed,10,False
mud,10,False
Children,10,False
liquid,10,False
kitchen,10,True
covers,10,False
acquired,10,False
port,10,True
philosophy,10,True
deed,10,False
review,10,True
despite,10,True
communication,10,True
consideration,10,True
North,10,False
spend,10,True
formed,10,False
desire,10,True
tower,10,True
deer,10,True
afford,10,True
inning,10,False
carries,10,False
listened,10,False
tests,10,False
battery,10,True
Dean,10,False
vehicle,10,True
heel,10,True
transfer,10,True
basis,10,True
complaint,10,True
carpet,10,False
rounds,10,False
Some,10,False
sentences,10,False
meal,10,True
breast,10,True
Water,10,False
oven,10,True
offensive,10,True
longed,10,False
shoe,10,True
topped,10,False
accurate,10,True
construct,10,True
guarantee,10,True
recommended,10,False
accused,10,False
admit,10,True
freedom,10,True
sell,10,True
dough,10,False
constitutional,10,True
writes,10,False
grandfather,10,True
bombing,10,True
violence,10,True
Roman,10,False
eggs,10,False
counts,10,False
ambition,10,False
chemicals,10,False
arrive,10,True
expensive,10,True
plastic,10,True
memories,10,False
conscience,10,False
breaks,10,False
genetic,10,True
slip,10,True
management,10,True
customs,10,False
aware,10,True
senses,10,False
ceiling,10,True
roll,10,True
weekly,10,True
narrative,10,True
leadership,10,True
traditional,10,True
saying,10,False
storage,10,True
bite,10,True
core,10,True
sounded,10,False
succeeded,10,False
tickets,10,False
announced,10,False
keys,10,False
elementary,10,True
feature,10,True
grabbed,10,False
cook,10,True
super,10,True
crop,10,True
stove,10,False
players,10,False
breeze,10,False
prevent,10,True
adult,10,True
external,10,True
distinction,10,True
cooperation,10,True
household,10,True
violate,10,True
license,10,True
answers,10,False
mission,10,True
kettle,10,False
Senate,10,True
delivered,10,False
blanket,10,True
mixture,10,True
wheel,10,True
beauty,10,True
mugger,10,False
directed,10,False
legislature,10,False
tobacco,10,True
engaged,10,False
clinical,10,True
In,10,False
penalty,10,True
burden,10,True
drinking,10,False
apple,10,True
crimes,10,False
contemporary,10,True
saving,10,True
coverage,10,True
Is,10,False
preserve,10,True
generation,10,True
walking,10,False
seem,10,True
claims,10,False
contribution,10,True
surprising,10,True
physics,10,False
Latin,10,True
gather,10,True
math,10,True
toddler,10,False
comprehensive,10,True
vulnerable,10,True
carrying,10,False
welfare,10,True
Their,10,False
nights,10,False
ask,10,True
steep,10,False
organized,10,False
celebrated,10,False
happen,10,True
performances,10,False
flavor,10,True
boarding,10,False
victims,10,False
throne,10,False
nations,10,False
adviser,10,True
papers,10,False
bonds,10,False
rides,10,False
highest,10,False
origin,10,True
lecture,10,False
branches,10,False
Your,8,False
largest,8,False
arguments,8,False
instead,8,True
regions,8,False
recalled,8,False
throughout,8,True
shortage,8,False
eating,8,False
confirmed,8,False
Party,8,False
instrument,8,True
briefly,8,True
Democrats,8,False
violinist,8,False
carpenter,8,False
making,8,False
institution,8,True
addressed,8,False
metallic,8,False
rescue,8,False
poet,8,True
telling,8,False
noticed,8,False
immigrants,8,False
invite,8,True
suburban,8,False
widespread,8,True
provide,8,True
retained,8,False
basketball,8,True
margins,8,False
sonata,8,False
measures,8,False
junior,8,True
figures,8,False
reflects,8,False
controls,8,False
requiring,8,False
captured,8,False
hearts,8,False
trials,8,False
Beethoven,8,False
dare,8,True
toes,8,False
established,8,False
dancer,8,False
genes,8,False
impressive,8,True
purpose,8,True
inches,8,False
converted,8,False
facility,8,True
China,8,False
Hollywood,8,False
intentions,8,False
kills,8,False
camping,8,False
reception,8,False
capture,8,True
starting,8,False
grief,8,False
chin,8,False
talks,8,False
thousand,8,True
satisfied,8,False
payment,8,True
Civil,8,False
mechanism,8,True
aid,8,True
mutual,8,True
teenage,8,False
version,8,True
feeds,8,False
upward,8,False
architect,8,True
occurs,8,False
favorite,8,True
popularity,8,False
introduction,8,True
nasty,8,False
ruled,8,False
gear,8,True
invited,8,False
priest,8,True
surfaces,8,False
volcano,8,False
distinguished,8,False
required,8,False
tissue,8,True
slavery,8,False
disliked,8,False
seek,8,True
reveal,8,True
forgot,8,False
symphony,8,False
cheese,8,True
clouded,8,False
gap,8,True
handwriting,8,False
cloud,8,True
FBI,8,False
create,8,True
progress,8,True
rumor,8,False
closely,8,True
generated,8,False
palace,8,False
patients,8,False
developing,8,True
creative,8,True
relative,8,True
translation,8,False
forced,8,False
refuse,8,True
wines,8,False
airport,8,True
stroke,8,True
serving,8,False
shooting,8,True
recorded,8,False
error,8,True
republican,8,False
shake,8,True
specimen,8,False
creation,8,True
linguistics,8,False
collapse,8,True
boxer,8,False
target,8,True
scent,8,False
compound,8,False
Japanese,8,True
biased,8,False
enjoy,8,True
porch,8,True
lined,8,False
clubs,8,False
seas,8,False
scheme,8,True
headed,8,False
weave,8,False
consonants,8,False
regarded,8,False
mask,8,True
equally,8,True
intelligence,8,True
senator,8,True
sand,8,True
tops,8,False
absolutely,8,True
sweep,8,True
prize,8,False
permission,8,True
voting,8,False
flu,8,False
heroin,8,False
infant,8,True
description,8,True
shirts,8,False
guessed,8,False
retains,8,False
mortal,8,False
bags,8,False
profit,8,True
circles,8,False
dollar,8,False
beach,8,True
outstanding,8,False
achievements,8,False
jobs,8,False
influenced,8,False
crying,8,False
owners,8,False
ladder,8,False
climbed,8,False
shout,8,True
environment,8,True
spelling,8,False
shown,8,False
counter,8,True
One,8,False
myself,8,True
investigation,8,True
supplies,8,False
indication,8,True
complaints,8,False
motives,8,False
outer,8,False
movements,8,False
emperor,8,False
jealousy,8,False
component,8,True
rests,8,False
cave,8,False
chain,8,True
absence,8,True
vacation,8,True
challenged,8,False
challenge,8,True
illegal,8,True
carved,8,False
beliefs,8,False
images,8,False
blows,8,False
suffering,8,False
requirements,8,False
picked,8,False
cutting,8,False
removed,8,False
earnings,8,True
worse,8,False
wax,8,False
mistakes,8,False
concrete,8,True
concluded,8,False
determine,8,True
hated,8,False
expect,8,True
holes,8,False
B,8,False
indicated,8,False
wages,8,False
elect,8,True
virus,8,True
quarterback,8,True
improved,8,False
abroad,8,True
electricity,8,True
impressed,8,False
adopted,8,False
survey,8,True
existing,8,True
withdrawal,8,False
drawings,8,False
losses,8,False
shelter,8,True
references,8,False
comfort,8,True
downstream,8,False
terrorist,8,True
prefer,8,True
forth,8,True
heading,8,False
effects,8,False
origins,8,False
personally,8,True
tongue,8,True
characterized,8,False
whatever,8,True
beam,8,False
combination,8,True
instruments,8,False
column,8,True
repeated,8,False
beads,8,False
wash,8,True
require,8,True
crossed,8,False
shifted,8,False
compared,8,False
subjects,8,False
studies,8,False
crowded,8,False
hotel,8,True
twenty,8,True
guest,8,True
abortion,8,True
drove,8,False
sons,8,False
benefits,8,False
communicate,8,True
guide,8,True
City,8,False
committed,8,False
accomplish,8,True
unlikely,8,True
glory,8,False
leaf,8,True
dresses,8,False
Japan,8,False
chairs,8,False
eight,8,True
athletic,8,True
tools,8,False
People,8,False
recruits,8,False
nor,8,True
talents,8,False
worldwide,8,False
detected,8,False
metals,8,False
truly,8,True
branded,8,False
hero,8,True
comet,8,False
heir,8,False
sport,8,True
planned,8,False
advice,8,True
searching,8,False
drawer,8,False
arrangement,8,True
unexpected,8,False
deeply,8,True
showered,8,False
booked,8,False
feed,8,True
economics,8,True
exhibition,8,True
variation,8,True
marketing,8,True
boxes,8,False
processed,8,False
turning,8,False
debts,8,False
theme,8,True
born,8,True
operating,8,True
musician,8,True
rested,8,False
comments,8,False
bother,8,True
mineral,8,False
gallons,8,False
poverty,8,True
headquarters,8,True
packed,8,False
survivors,8,False
marks,8,False
developments,8,False
previously,8,True
affected,8,False
pretend,8,True
listed,8,False
educational,8,True
consisted,8,False
powder,8,True
brain,8,True
brings,8,False
meetings,8,False
loved,8,False
laundry,8,False
Could,8,False
goods,8,False
shoulders,8,False
stolen,8,False
Christian,8,True
noted,8,False
Britain,8,False
locate,8,True
survived,8,False
thieves,8,False
thesis,8,False
plains,8,False
significance,8,True
sing,8,True
candy,8,False
potential,8,True
outline,8,False
Every,8,False
hypothesis,8,True
inflation,8,True
organize,8,True
servants,8,False
particularly,8,True
coin,8,False
though,8,True
visiting,8,False
witness,8,True
rail,8,True
harm,8,False
maple,8,False
affection,8,False
fishing,8,True
mothers,8,False
doubled,8,False
slightly,8,True
downtown,8,True
islands,8,False
nomination,8,True
protested,8,False
psychological,8,True
shut,8,True
delivery,8,True
breathing,8,False
constitution,8,False
moves,8,False
poles,8,False
tour,8,True
convicted,8,False
driver,8,True
prince,8,False
dependent,8,True
circus,8,False
bold,8,False
dancing,8,False
nearly,8,True
depends,8,False
associate,8,True
clause,8,False
barn,8,False
naturally,8,True
silk,8,False
knees,8,False
accounting,8,False
assignment,8,True
football,8,True
tenor,8,False
hydrogen,8,False
partners,8,False
overall,8,True
shades,8,False
named,8,False
semester,8,False
perform,8,True
universe,8,True
vision,8,True
assumptions,8,False
subway,8,False
mention,8,True
larger,8,False
lonely,8,False
pair,8,True
defensive,8,True
measurements,8,False
worried,8,True
tendency,8,True
orders,8,False
seven,8,True
probably,8,True
boards,8,False
access,8,True
medium,8,True
Rockies,8,False
filed,8,False
reality,8,True
menu,8,True
wings,8,False
meter,8,True
earned,8,False
queen,8,False
delayed,8,False
Jesus,8,False
earlier,8,False
faults,8,False
fatigue,8,False
gods,8,False
Princeton,8,False
searched,8,False
flies,8,False
exhausted,8,False
partner,8,True
watching,8,False
minister,8,True
politically,8,True
soprano,8,False
defined,8,False
sometimes,8,True
lips,8,False
argued,8,False
pitched,8,False
waved,8,False
miss,8,True
sum,8,False
posed,8,False
requested,8,False
tires,8,False
prominent,8,True
happens,8,False
cough,8,False
actors,8,False
stiff,8,False
shaken,8,False
western,8,True
sections,8,False
comedy,8,True
platform,8,True
Saturday,8,False
sunlight,8,False
senior,8,True
attend,8,True
findings,8,False
appropriate,8,True
sustained,8,False
reviews,8,False
brushed,8,False
airplane,8,False
elements,8,False
gently,8,True
geese,8,False
button,8,True
teachers,8,False
layer,8,True
photograph,8,True
remark,8,False
meals,8,False
opportunity,8,True
digital,8,True
fallen,8,False
lovers,8,False
planet,8,True
except,8,True
covering,8,False
launch,8,True
thanks,8,True
trick,8,True
island,8,True
hidden,8,False
prepare,8,True
attracted,8,False
widely,8,True
passengers,8,False
approaching,8,False
swimming,8,False
fist,8,False
classroom,8,True
virtually,8,True
criticized,8,False
amounts,8,False
recall,8,True
devotion,8,False
minds,8,False
toss,8,True
rebels,8,False
installed,8,False
comment,8,True
calling,8,False
candidates,8,False
circuit,8,False
frequently,8,True
tear,8,True
label,8,True
benefit,8,True
suits,8,False
whites,6,False
division,6,True
missile,6,True
heated,6,False
proportion,6,True
suffers,6,False
extends,6,False
pouring,6,False
quotation,6,False
eagle,6,False
reproduction,6,False
spa,6,False
spare,6,False
merit,6,False
rub,6,True
petals,6,False
promised,6,False
route,6,True
interrupted,6,False
Nothing,6,False
psychiatrist,6,False
occupation,6,True
keyboard,6,False
assume,6,True
designs,6,False
neighboring,6,False
whose,6,True
select,6,True
wealthy,6,True
expectations,6,False
analyzed,6,False
properly,6,True
comforts,6,False
steam,6,False
rod,6,False
export,6,False
respond,6,True
write,6,True
suffer,6,True
recover,6,True
conductor,6,False
hoping,6,False
carbon,6,True
experiences,6,False
til,6,False
tasted,6,False
dealing,6,False
puts,6,False
shortstop,6,False
possibilities,6,False
peaceful,6,False
colleague,6,True
considerably,6,False
handled,6,False
Allies,6,False
resemblance,6,False
contrast,6,True
Court,6,False
greatly,6,False
footsteps,6,False
commitment,6,True
assistant,6,True
pointed,6,False
prompt,6,True
related,6,False
capsized,6,False
drums,6,False
heroes,6,False
passport,6,False
servant,6,False
controlling,6,False
okay,6,True
fallout,6,False
commission,6,True
lever,6,False
staircase,6,False
sake,6,True
commit,6,True
fame,6,False
machinery,6,False
HIV,6,False
Tom,6,False
formula,6,True
pole,6,True
functions,6,False
warfare,6,False
hunters,6,False
releases,6,False
particles,6,False
hostess,6,False
hundreds,6,False
singer,6,True
predicted,6,False
institutions,6,False
wears,6,False
latter,6,True
gravity,6,False
Italian,6,True
doubts,6,False
tool,6,True
awarded,6,False
notion,6,True
pop,6,True
farms,6,False
gasoline,6,False
terrorists,6,False
gradually,6,True
spending,6,True
exposed,6,False
fed,6,False
projects,6,False
roughly,6,True
An,6,False
compensation,6,False
rows,6,False
nodding,6,False
spirits,6,False
ported,6,False
debate,6,True
holdings,6,False
exceeded,6,False
poured,6,False
strengthened,6,False
plaintiff,6,False
trailed,6,False
evolved,6,False
somehow,6,True
logic,6,False
guilt,6,False
administration,6,True
slice,6,True
tube,6,True
devoted,6,False
self,6,True
columns,6,False
trumps,6,False
herbs,6,False
divided,6,False
deserted,6,False
dominates,6,False
observations,6,False
applauded,6,False
obvious,6,True
swim,6,True
neglected,6,False
occasionally,6,True
leads,6,False
bench,6,True
treasure,6,False
timing,6,False
cognitive,6,True
nursed,6,False
foul,6,False
frequency,6,True
stairs,6,False
freeze,6,True
slammed,6,False
obligation,6,True
referee,6,False
Shakespeare,6,False
nowhere,6,True
profited,6,False
crew,6,True
ambassador,6,False
controversial,6,True
net,6,True
blankets,6,False
bearing,6,False
tends,6,False
publishing,6,False
opportunities,6,False
banks,6,False
colored,6,False
broadcast,6,False
Western,6,False
offices,6,False
lands,6,False
furnace,6,False
fingerprints,6,False
awkward,6,False
chocolate,6,True
thief,6,False
why,6,True
odor,6,False
volunteer,6,True
triumph,6,False
canoe,6,False
presidential,6,True
types,6,False
weekends,6,False
anybody,6,True
mortgage,6,True
awoke,6,False
acknowledge,6,True
advertising,6,True
passes,6,False
confronted,6,False
behaved,6,False
fewer,6,True
patterns,6,False
admission,6,True
graduated,6,False
lovely,6,True
bicycle,6,False
attached,6,False
percent,6,False
passion,6,True
ban,6,True
treaty,6,True
interviewed,6,False
doctors,6,False
thread,6,False
posted,6,False
additional,6,True
throat,6,True
web,6,False
whiskey,6,False
lessons,6,False
cables,6,False
hallway,6,False
allows,6,False
terror,6,True
surely,6,True
substances,6,False
trusted,6,False
district,6,True
prove,6,True
outward,6,False
Tower,6,False
barrel,6,True
Bible,6,True
kindness,6,False
consciousness,6,True
reflected,6,False
pride,6,True
decisions,6,False
consequence,6,True
laughing,6,False
compressed,6,False
changing,6,True
discrimination,6,True
clerk,6,False
supermarket,6,False
discovered,6,False
dictionary,6,False
elections,6,False
resignation,6,False
velocity,6,False
maintained,6,False
pieced,6,False
attacking,6,False
liver,6,False
site,6,True
consistent,6,True
connections,6,False
expert,6,True
internet,6,False
connected,6,False
cheered,6,False
bees,6,False
visitors,6,False
ourselves,6,True
paused,6,False
courage,6,True
basement,6,False
Spanish,6,True
rubber,6,False
nine,6,True
finger,6,True
indicate,6,True
sweater,6,False
venture,6,True
thumb,6,False
investors,6,False
Hall,6,False
cotton,6,True
National,6,False
crystal,6,False
council,6,True
beard,6,False
skirts,6,False
utility,6,True
automobile,6,False
wrapped,6,False
resolution,6,True
tripped,6,False
airline,6,True
gravy,6,False
Mercedes,6,False
confess,6,False
comparison,6,True
levels,6,False
contented,6,False
selected,6,False
juice,6,True
pupils,6,False
citizen,6,True
surprisingly,6,True
competitive,6,True
occur,6,True
ski,6,True
All,6,False
Iran,6,False
fatty,6,False
traveling,6,False
struck,6,False
Cambodia,6,False
pollution,6,True
compare,6,True
prey,6,False
Cuba,6,False
waiters,6,False
farming,6,False
scaled,6,False
bodies,6,False
reporter,6,True
slave,6,True
brandy,6,False
involvement,6,True
communicated,6,False
worries,6,False
assets,6,False
courts,6,False
Moscow,6,False
fifth,6,True
demonstration,6,True
belonging,6,False
infantry,6,False
dreams,6,False
backed,6,False
possessions,6,False
wage,6,True
Tuesday,6,False
neither,6,True
guns,6,False
bribery,6,False
pinned,6,False
seed,6,True
determines,6,False
logs,6,False
sensation,6,False
float,6,True
faculty,6,True
sources,6,False
evolution,6,True
incident,6,True
concentrate,6,True
pains,6,False
despair,6,False
nearby,6,True
articles,6,False
marble,6,False
outed,6,False
happiest,6,False
pet,6,True
expansion,6,True
develops,6,False
summit,6,True
owes,6,False
flights,6,False
essay,6,True
composed,6,False
detailed,6,True
invaders,6,False
prescription,6,True
Mozart,6,False
protected,6,False
concealed,6,False
oppose,6,True
coins,6,False
cooked,6,False
hint,6,False
necktie,6,False
squares,6,False
composer,6,False
Union,6,False
spectators,6,False
triangle,6,False
expanded,6,False
diverse,6,True
difficulty,6,True
Middle,6,False
eliminate,6,True
anchor,6,False
promoted,6,False
sit,6,True
cap,6,True
advantages,6,False
gathered,6,False
Bordeaux,6,False
IBM,6,False
lively,6,False
worker,6,True
reporters,6,False
tourist,6,True
grammatical,6,False
invitation,6,False
fishes,6,False
smells,6,False
violin,6,False
targets,6,False
embrace,6,True
sold,6,False
approximately,6,True
breathed,6,False
projected,6,False
breathes,6,False
intersection,6,False
identification,6,True
calm,6,False
breathe,6,True
absorbed,6,False
dived,6,False
therefore,6,True
tapping,6,False
hungry,6,True
strokes,6,False
electronic,6,True
holly,6,False
indeed,6,True
dusted,6,False
slept,6,False
dealt,6,False
eaten,6,False
flour,6,False
indications,6,False
boiling,6,False
cousin,6,True
raising,6,False
independence,6,True
hemisphere,6,False
messages,6,False
fumbled,6,False
bless,6,False
stretched,6,False
greeting,6,False
worn,6,False
deck,6,True
superior,6,False
represents,6,False
politician,6,True
sewage,6,False
martini,6,False
appealed,6,False
somebody,6,True
literally,6,True
halls,6,False
trucks,6,False
backyard,6,False
scales,6,False
photographic,6,False
bullets,6,False
driven,6,False
anyone,6,True
watered,6,False
alphabet,6,False
biology,6,False
permitted,6,False
unlike,6,True
brains,6,False
necessarily,6,True
autumn,6,False
bushes,6,False
brand,6,True
boyfriend,6,True
arrange,6,True
prisoner,6,True
highways,6,False
mathematics,6,False
Harvard,6,False
absorbs,6,False
shelves,6,False
trap,6,False
hurricane,6,False
scientists,6,False
misses,6,False
shapes,6,False
drops,6,False
emerged,6,False
sample,6,True
calf,6,False
odds,6,True
taxi,6,False
replace,6,True
cabbage,6,False
pants,6,False
jewels,6,False
dull,6,False
lungs,6,False
dealer,6,True
satellite,6,True
hoped,6,False
produces,6,False
investigated,6,False
lose,6,True
Olympic,6,True
typically,6,True
farmers,6,False
troubles,6,False
miracle,6,True
murdered,6,False
sleeps,6,False
event,6,True
verbs,6,False
index,6,True
apparently,6,True
promises,6,False
stared,6,False
umpire,6,False
abused,6,False
ringing,6,False
strongly,6,True
massage,6,False
league,6,True
capitals,6,False
maximum,6,False
appreciated,6,False
pulse,6,False
Italy,6,False
joy,6,True
Prices,6,False
shocks,6,False
flowing,6,False
inheritance,6,False
somewhere,6,True
streamed,6,False
reads,6,False
dinosaurs,6,False
stops,6,False
eastern,6,True
cycles,6,False
pianist,6,False
seasons,6,False
agents,6,False
item,6,True
crossing,6,False
convictions,6,False
tables,6,False
dialect,6,False
Day,6,False
edges,6,False
issued,6,False
kissed,6,False
kid,6,True
knock,6,True
deserves,6,False
laughed,6,False
dean,6,False
appreciate,6,True
November,6,False
studying,6,False
locks,6,False
appointed,6,False
actress,6,True
executed,6,False
limousine,6,False
aspects,6,False
bird,6,True
greater,6,False
raises,6,False
differently,6,True
economical,6,False
landscape,6,True
employed,6,False
higher,6,False
Monday,6,False
prescribed,6,False
administrator,6,True
alike,6,False
California,6,False
buried,6,False
ones,6,False
dolls,6,False
inspired,6,False
solved,6,False
proved,6,False
shell,6,True
sweat,6,False
tourists,6,False
vowel,6,False
Gielgud,6,False
closet,6,False
inhabitants,6,False
hairs,6,False
polite,6,False
initial,6,True
keen,6,False
sleeper,6,False
betray,6,False
implies,6,False
relax,6,True
apology,6,False
informed,6,False
faint,6,False
cable,6,True
skyscraper,6,False
described,6,False
communities,6,False
settlement,6,True
status,6,True
shattered,6,False
grocery,6,True
resisted,6,False
seaport,6,False
suitcases,6,False
leaned,6,False
ore,6,False
luxury,6,False
teenagers,6,False
minus,6,False
bedtime,6,False
transportation,6,True
statistics,6,True
mature,6,False
practices,6,False
approaches,6,False
regulate,6,True
hobby,6,False
organs,6,False
containing,6,False
innocence,6,False
burglar,6,False
ankle,6,False
intensity,6,True
submitted,6,False
elderly,6,True
majority,6,True
hanging,6,False
lawyers,6,False
symptoms,6,False
sweetly,6,False
resident,6,True
questioned,6,False
deficit,6,True
folly,6,False
cargo,6,False
dramatically,6,True
arts,6,False
therapy,6,True
publicly,6,True
magnificent,6,False
Island,6,False
garment,6,False
membership,6,True
leap,6,False
records,6,False
wandered,6,False
guy,6,True
blocks,6,False
guess,6,True
ballet,6,False
peaches,6,False
sang,6,False
transformed,6,False
bits,6,False
architecture,6,False
mechanisms,6,False
beating,6,False
ties,6,False
winners,6,False
racial,6,True
seated,6,False
curtains,6,False
Republicans,6,False
engineering,6,True
civilian,6,True
holding,6,False
Florida,6,False
protect,6,True
admits,6,False
flame,6,True
satire,6,False
garlic,6,True
mentioned,6,False
weigh,6,True
restore,6,True
grandmother,6,True
east,6,True
nerves,6,False
clocks,6,False
oak,6,False
mix,6,True
criminals,6,False
spite,6,False
lumber,6,False
responsibilities,6,False
tenth,6,False
intake,6,False
cried,6,False
cylinder,6,False
blade,6,True
laid,6,False
pawn,6,False
blamed,6,False
winner,6,True
techniques,6,False
switched,6,False
purchase,6,True
delay,6,True
dragged,6,False
strained,6,False
spots,6,False
moonlight,6,False
mushrooms,6,False
beans,6,False
patience,6,False
fury,6,False
cheek,6,True
blocked,6,False
establish,6,True
fashions,6,False
temporary,6,True
owe,6,True
baseman,6,False
sandwich,6,False
adolescent,6,True
efforts,6,False
obtain,6,True
grounded,6,False
dressed,6,False
recordings,6,False
sacrifice,6,False
reluctant,6,False
concerning,6,False
flew,6,False
solar,6,True
dirt,6,True
eater,6,False
brakes,6,False
laboratories,6,False
quarters,6,False
reader,6,True
operator,6,True
arrest,6,True
wagon,6,False
rhythm,6,True
gifted,6,True
waiter,6,False
shouted,6,False
ghost,6,True
pennant,6,False
depressing,6,False
publish,6,True
bullet,6,True
cups,6,False
